symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPY,2002-04-17 00:00:00+00:00,112.959999,113.669998,112.599998,113.389999,12920100,78.2099497448,78.7015307168,77.9606963775,78.5076682176,12920100,0.0,1.0
SPY,2002-04-18 00:00:00+00:00,112.470001,113.459999,111.150002,112.900002,25204800,77.8706905442,78.5561340155,76.9567647619,78.1684097094,25204800,0.0,1.0
SPY,2002-04-19 00:00:00+00:00,112.879997,113.239998,112.559998,113.199997,10499200,78.1545588767,78.403812244,77.9330016359,78.37611681,10499200,0.0,1.0
SPY,2002-04-22 00:00:00+00:00,111.0,112.43,110.839996,112.379997,13922900,76.852908096,77.8429951102,76.7421263599,77.808374606,13922900,0.0,1.0
SPY,2002-04-23 00:00:00+00:00,110.519997,111.480003,110.169998,111.089996,16967000,76.520569119,77.185247073,76.2782408219,76.9152184953,16967000,0.0,1.0
SPY,2002-04-24 00:00:00+00:00,109.410004,111.809998,109.400002,110.559998,18902700,75.7520448846,77.4137252298,75.7451198145,76.548264553,18902700,0.0,1.0
SPY,2002-04-25 00:00:00+00:00,109.470001,109.739998,108.720001,109.209999,25451500,75.79358492,75.9805223491,75.274308514,75.6135677145,25451500,0.0,1.0
SPY,2002-04-26 00:00:00+00:00,107.389999,110.010002,107.290001,109.790001,19769800,74.3534569692,76.1674646247,74.2842214998,76.0151428533,19769800,0.0,1.0
SPY,2002-04-29 00:00:00+00:00,106.860001,108.260002,106.629997,107.93,17724400,73.986503027,74.9558196773,73.827255493,74.7273366739,17724400,0.0,1.0
SPY,2002-04-30 00:00:00+00:00,107.860001,108.639999,106.639999,107.019997,19473500,74.6788715684,75.2189176459,73.8341805631,74.0972792241,19473500,0.0,1.0
SPY,2002-05-01 00:00:00+00:00,109.18,109.25,106.800003,107.970001,24575600,75.5927973506,75.6412631485,73.9449622992,74.7550321079,24575600,0.0,1.0
SPY,2002-05-02 00:00:00+00:00,108.760002,109.910004,107.779999,109.099998,15666800,75.302003948,76.0982291553,74.6234807003,75.5374064826,15666800,0.0,1.0
SPY,2002-05-03 00:00:00+00:00,107.580002,108.760002,107.199997,108.599998,18185500,74.4850090691,75.302003948,74.2219055616,75.1912222119,18185500,0.0,1.0
SPY,2002-05-06 00:00:00+00:00,105.470001,107.989998,105.309998,107.639999,23630400,73.0241107544,74.7688774016,72.9133297107,74.5265491045,23630400,0.0,1.0
SPY,2002-05-07 00:00:00+00:00,105.099998,106.32,104.900002,106.099998,21910000,72.767932317,73.6126233222,72.6294613782,73.4603008584,21910000,0.0,1.0
SPY,2002-05-08 00:00:00+00:00,109.010002,109.360001,106.790001,107.050003,27917400,75.4750960833,75.7174243805,73.9380372291,74.1180544346,27917400,0.0,1.0
SPY,2002-05-09 00:00:00+00:00,107.75,109.099998,107.580002,108.650002,18085600,74.6027103364,75.5374064826,74.4850090691,75.2258434084,18085600,0.0,1.0
SPY,2002-05-10 00:00:00+00:00,105.720001,108.050003,105.599998,107.970001,18958900,73.1972028897,74.810422976,73.1141165877,74.7550321079,18958900,0.0,1.0
SPY,2002-05-13 00:00:00+00:00,107.870003,107.949997,105.790001,106.220001,14677700,74.6857966385,74.7411819676,73.2456686876,73.5433871605,14677700,0.0,1.0
SPY,2002-05-14 00:00:00+00:00,110.220001,110.370003,109.0,109.620003,34201200,76.3128613261,76.416717992,75.4681710132,75.897441586,34201200,0.0,1.0
SPY,2002-05-15 00:00:00+00:00,109.790001,110.910004,109.290001,109.5,29535300,76.0151428533,76.7905976967,75.6689585826,75.8143552839,29535300,0.0,1.0
SPY,2002-05-16 00:00:00+00:00,110.360001,110.480003,109.330002,109.699997,28092000,76.4097929219,76.4928785316,75.6966540166,75.9528269151,28092000,0.0,1.0
SPY,2002-05-17 00:00:00+00:00,110.900002,111.25,110.099998,110.660004,27823700,76.7836726266,77.0260002314,76.229775024,76.6175055614,27823700,0.0,1.0
SPY,2002-05-20 00:00:00+00:00,109.699997,110.690002,109.489998,110.639999,13833800,75.9528269151,76.6382752329,75.8074302137,76.6036547287,13833800,0.0,1.0
SPY,2002-05-21 00:00:00+00:00,108.699997,110.480003,108.32,110.110001,16877200,75.2604583737,76.4928785316,74.997360405,76.2367007865,16877200,0.0,1.0
SPY,2002-05-22 00:00:00+00:00,108.940002,109.120003,108.0,108.220001,15844200,75.4266302854,75.5512573153,74.7758024718,74.9281242433,15844200,0.0,1.0
SPY,2002-05-23 00:00:00+00:00,110.099998,110.360001,108.480003,109.260002,13879800,76.229775024,76.4097929219,75.1081414488,75.6481882187,13879800,0.0,1.0
SPY,2002-05-24 00:00:00+00:00,108.690002,110.199997,108.610001,109.980003,11877000,75.2535381501,76.2990111858,75.1981479744,76.1466942609,11877000,0.0,1.0
SPY,2002-05-28 00:00:00+00:00,108.099998,109.129997,107.449997,109.050003,24236900,74.8450379412,75.5581768465,74.3949976969,75.5027915174,24236900,0.0,1.0
SPY,2002-05-29 00:00:00+00:00,107.300003,108.019997,107.129997,107.620003,14773300,74.2911465699,74.7896477655,74.1734397637,74.5127045032,14773300,0.0,1.0
SPY,2002-05-30 00:00:00+00:00,107.0,107.510002,105.900002,106.550003,18217900,74.0834339304,74.4365432712,73.3218299196,73.7718701639,18217900,0.0,1.0
SPY,2002-05-31 00:00:00+00:00,107.220001,108.559998,106.849998,107.400002,19826300,74.2357557019,75.1635274702,73.9795772644,74.3603827317,19826300,0.0,1.0
